cam_ung,height_mm,url_path,material,storage_max_support,storage_gb,display_width,bluetooth_version,width_mm,manufacturer,cpu_max_speed,root_price,cpu_threads,cpu_cores,ram_speed,product_weight,discounted_price,ram_type,refresh_rate,cpu_speed,name,ram_storage,is_installment,ram_slots,os_version,battery_capacity,laptop_color,cpu_model,vga_type,depth_mm,image,vga_brand,product_id,cpu_series,display_height,vga_vram,laptop_camera,display_size,cpu_brand,hoc_tap_van_phong,laptop_sang_tao_noi_dung,mong_nhe,gaming,do_hoa_ky_thuat,cao_cap_sang_trong
0,227.0,https://www.thegioididong.com/laptop/asus-fa401wv-r9-ai-rg062ws?code=0220042002813,vỏ nhựa - nắp lưng kim loại,2048.0,1024.0,2560.0,5.3,311.0,asus,5.1,39990000.0,24.0,12.0,7500.0,1.46,39990000.0,lpddr5,165.0,2.0,Laptop Asus TUF Gaming A14 FA401WV R9 AI HX 370/16GB/1TB/8GB RTX4060/165Hz/OfficeHS/Office365/Win11 (RG062WS),16.0,1,0.0,windows 11,73.0,xám,hx 370,card rời,19.9,https://cdn.tgdd.vn/Products/Images/44/328948/asus-fa401wv-r9-ai-rg062ws-1-750x500.jpg,nvidia,0220042002813__l265_20250402-105034,ryzen ai 9,1600.0,8.0,full hd,14.0,amd,0,1,0,1,1,0
0,235.0,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15irh8-i7-83em003fvn?code=0220042002563,vỏ nhựa,1024.0,1024.0,1920.0,5.2,359.3,lenovo,4.9,18190000.0,16.0,10.0,4800.0,1.62,18190000.0,lpddr5,60.0,2.4,Laptop Lenovo Ideapad Slim 3 15IRH8 i7 13620H/16GB/1TB/Win11 (83EM003FVN),16.0,1,0.0,windows 11,47.0,xám,13620h,card tích hợp,17.9,https://cdn.tgdd.vn/Products/Images/44/322073/lenovo-ideapad-slim-3-15irh8-i7-83em003fvn-glr-1-750x500.jpg,intel,0220042002563__l66_20250402-105034,core i7,1080.0,0.0,hd,15.6,intel,1,0,0,1,1,0
0,232.5,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504za-i3-nj102w?code=0220042002367,vỏ nhựa,512.0,512.0,1920.0,5.3,359.7,asus,4.4,10690000.0,8.0,6.0,3200.0,1.7,10690000.0,ddr4,60.0,1.2,Laptop Asus Vivobook 15 X1504ZA i3 1215U/8GB/512GB/Win11 (NJ102W),8.0,1,2.0,windows 11,42.0,bạc,1215u,card tích hợp,17.9,https://cdn.tgdd.vn/Products/Images/44/312414/asus-vivobook-15-x1504za-i3-nj102w-hinh-1-750x500.jpg,intel,0220042002367__l9_20250402-105034,core i3,1080.0,0.0,hd,15.6,intel,1,0,0,1,1,1
0,212.4,https://www.thegioididong.com/laptop/apple-macbook-air-2020-mgn63saa?code=0220042001279,vỏ kim loại,256.0,256.0,2560.0,5.0,304.1,apple,3.2,17190000.0,12.0,8.0,4266.0,1.29,17190000.0,lpddr4x,60.0,3.2,Laptop MacBook Air 13 inch M1 8GB/256GB (MGN63SA/A),8.0,1,0.0,macos,58.2,xám,m1,card tích hợp,4.1,https://cdn.tgdd.vn/Products/Images/44/231244/grey-1-750x500.jpg,apple,0220042001279__l4_20250402-105034,m1,1600.0,0.0,hd,13.3,apple,1,1,1,0,1,1
0,271.09,https://www.thegioididong.com/laptop/acer-nitro-5-tiger-an515-58-52sp-i5-nhqfhsv001?code=0220042001908,vỏ nhựa,1024.0,512.0,1920.0,5.1,360.4,acer,4.5,18690000.0,16.0,12.0,3200.0,2.5,18690000.0,ddr4,144.0,2.5,Laptop Acer Gaming Nitro 5 Tiger AN515 58 52SP i5 12500H/8GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QFHSV.001),8.0,1,2.0,windows 11,57.5,đen,12500h,card rời,25.9,https://cdn.tgdd.vn/Products/Images/44/272282/acer-nitro-5-tiger-an515-58-52sp-i5-nhqfhsv001-abc-1-750x500.jpg,nvidia,0220042001908__l81_20250402-105034,core i5,1080.0,4.0,hd,15.6,intel,0,0,0,1,1,1
0,251.0,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx517ze-i5-hn045w?code=0220042002024,vỏ nhựa - nắp lưng kim loại,512.0,512.0,1920.0,5.2,354.0,asus,4.4,21690000.0,12.0,8.0,4800.0,2.0,21690000.0,ddr5,144.0,2.0,Laptop Asus TUF Gaming Dash F15 FX517ZE i5 12450H/8GB/512GB/4GB RTX3050Ti/144Hz/Win11 (HN045W),8.0,1,2.0,windows 11,76.0,đen,12450h,card rời,20.7,https://cdn.tgdd.vn/Products/Images/44/284343/asus-tuf-gaming-fx517ze-i5-hn045w-1-1-750x500.jpg,nvidia,0220042002024__l242_20250402-105034,core i5,1080.0,4.0,hd,15.6,intel,0,0,0,1,0,0
0,235.56,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5u085w11blu?code=0220042002137,vỏ nhựa,2048.0,512.0,1920.0,5.2,358.5,dell,4.4,14490000.0,12.0,10.0,2666.0,1.9,14490000.0,ddr4,120.0,1.3,Laptop Dell Inspiron 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/Win11 (i5U085W11BLU),8.0,1,2.0,windows 11,41.0,đen,1235u,card tích hợp,18.99,https://cdn.tgdd.vn/Products/Images/44/296921/dell-inspiron-15-3520-i5u085w11blu-ab-1-750x500.jpg,intel,0220042002137__l155_20250402-105034,core i5,1080.0,0.0,hd,15.6,intel,1,1,0,0,0,1
0,234.0,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2088tu-i7-7c0r0pa?code=0220042002164,vỏ nhựa,512.0,512.0,1920.0,5.2,360.2,hp,4.7,21690000.0,16.0,12.0,3200.0,1.74,21690000.0,ddr4,60.0,2.1,Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),16.0,1,2.0,windows 11,41.04,vàng,1260p,card tích hợp,17.9,https://cdn.tgdd.vn/Products/Images/44/302209/hp-pavilion-15-eg2088tu-i7-7c0r0pa-1-750x500.jpg,intel,0220042002164__l93_20250402-105034,core i7,1080.0,0.0,hd,15.6,intel,1,0,0,1,1,1
0,234.0,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2082tu-i5-7c0q5pa?code=0220042002182,vỏ nhựa,512.0,512.0,1920.0,5.2,360.2,hp,4.4,16990000.0,16.0,12.0,3200.0,1.72,16990000.0,ddr4,60.0,1.7,Laptop HP Pavilion 15 eg2082TU i5 1240P/8GB/512GB/Win11 (7C0Q5PA),8.0,1,2.0,windows 11,41.04,vàng,1240p,card tích hợp,17.9,https://cdn.tgdd.vn/Products/Images/44/302533/hp-pavilion-15-eg2082tu-i5-7c0q5pa-hinh-1-1-750x500.jpg,intel,0220042002182__l105_20250402-105034,core i5,1080.0,0.0,hd,15.6,intel,1,1,1,0,1,1
0,235.56,https://www.thegioididong.com/laptop/dell-vostro-15-3520-i5-5m2tt2?code=0220042002196,vỏ nhựa,512.0,512.0,1920.0,5.1,358.5,dell,4.4,13990000.0,12.0,10.0,3200.0,1.67,13990000.0,ddr4,120.0,1.3,Laptop Dell Vostro 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/Win11 (5M2TT2),8.0,1,2.0,windows 11,41.0,xám,1235u,card tích hợp,19.0,https://cdn.tgdd.vn/Products/Images/44/303835/dell-vostro-15-3520-i5-5m2tt2-glr-1-750x500.jpg,intel,0220042002196__l156_20250402-105034,core i5,1080.0,0.0,hd,15.6,intel,1,1,0,1,1,0
