root-laptop_id,child-laptop_id,child_laptop_name,child_laptop_image,child_laptop_link,child_laptop_color,child_laptop_price,special_features
75443,75444,Laptop Gaming Acer Nitro V ANV15-51-58AN-Đen,https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_9__4_5.png,/laptop-gaming-acer-nitro-v-anv15-51-58an.html?product_id=75444,Đen,16.990.000₫,"['CPU Intel Core i5-13420H cân mọi tựa game từ AAA đến game Esport.', 'GPU GeForce RTX 2050 mới nhất cho đồ họa cực đỉnh, chiến mọi tựa game với mức cài đặt cao.', 'RAM 16 GB DDR5 5200Mhz, khả năng xử lý đa nhiệm và đa tác vụ của máy càng được tăng tốc tối đa.', 'Màn hình 15.6 inch Full HD, tần số quét chuẩn chiến game 144Hz.', 'Ổ cứng\xa0512GB PCIE rộng rãi, lưu mọi tựa game dễ dàng.']"
49568,86461,MacBook Air M2 2022 16GB 256GB 2022 Sạc 30W I Chính hãng Apple Việt Nam-Trắng vàng,https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_air_m2_3_1_1_6.png,/macbook-air-m2-2022-16gb.html?product_id=86461,Trắng vàng,21.390.000₫,"['Thiết kế sang trọng, lịch lãm - siêu mỏng 11.3mm, chỉ 1.24kg', 'Hiệu năng hàng đầu - Chip Apple m2, 8 nhân GPU, hỗ trợ tốt các phần mềm như Word, Axel, Adoble Premier', 'Đa nhiệm mượt mà - Ram 16GB, SSD 256GB cho phép vừa làm việc, vừa nghe nhạc', 'Màn hình sắc nét - Độ phân giải 2560 x 1664 cùng độ sáng 500 nits', 'Âm thanh sống động - 4 loa tramg bị công nghệ dolby atmos và âm thanh đa chiều']"
49568,86460,MacBook Air M2 2022 16GB 256GB 2022 Sạc 30W I Chính hãng Apple Việt Nam-Xám,https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_air_m2_4_1_1_6.png,/macbook-air-m2-2022-16gb.html?product_id=86460,Xám,21.790.000₫,"['Thiết kế sang trọng, lịch lãm - siêu mỏng 11.3mm, chỉ 1.24kg', 'Hiệu năng hàng đầu - Chip Apple m2, 8 nhân GPU, hỗ trợ tốt các phần mềm như Word, Axel, Adoble Premier', 'Đa nhiệm mượt mà - Ram 16GB, SSD 256GB cho phép vừa làm việc, vừa nghe nhạc', 'Màn hình sắc nét - Độ phân giải 2560 x 1664 cùng độ sáng 500 nits', 'Âm thanh sống động - 4 loa tramg bị công nghệ dolby atmos và âm thanh đa chiều']"
49568,86462,MacBook Air M2 2022 16GB 256GB 2022 Sạc 30W I Chính hãng Apple Việt Nam-Đen,https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_air_m2_1_1_1_8.png,/macbook-air-m2-2022-16gb.html?product_id=86462,Đen,21.090.000₫,"['Thiết kế sang trọng, lịch lãm - siêu mỏng 11.3mm, chỉ 1.24kg', 'Hiệu năng hàng đầu - Chip Apple m2, 8 nhân GPU, hỗ trợ tốt các phần mềm như Word, Axel, Adoble Premier', 'Đa nhiệm mượt mà - Ram 16GB, SSD 256GB cho phép vừa làm việc, vừa nghe nhạc', 'Màn hình sắc nét - Độ phân giải 2560 x 1664 cùng độ sáng 500 nits', 'Âm thanh sống động - 4 loa tramg bị công nghệ dolby atmos và âm thanh đa chiều']"
49568,86459,MacBook Air M2 2022 16GB 256GB 2022 Sạc 30W I Chính hãng Apple Việt Nam-Bạc,https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_air_m2_2_1_1_7.png,/macbook-air-m2-2022-16gb.html?product_id=86459,Bạc,21.790.000₫,"['Thiết kế sang trọng, lịch lãm - siêu mỏng 11.3mm, chỉ 1.24kg', 'Hiệu năng hàng đầu - Chip Apple m2, 8 nhân GPU, hỗ trợ tốt các phần mềm như Word, Axel, Adoble Premier', 'Đa nhiệm mượt mà - Ram 16GB, SSD 256GB cho phép vừa làm việc, vừa nghe nhạc', 'Màn hình sắc nét - Độ phân giải 2560 x 1664 cùng độ sáng 500 nits', 'Âm thanh sống động - 4 loa tramg bị công nghệ dolby atmos và âm thanh đa chiều']"
79551,79552,Laptop Asus Vivobook 14 OLED A1405VA-KM257W-Đen,https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_16__5_20.png,/laptop-asus-vivobook-14-oled-a1405va-km257w.html?product_id=79552,Đen,16.990.000₫,"['Trang bị bộ vi xử lý Intel Core i5-13500H cung cấp hiệu suất xử lý đa nhiệm mạnh mẽ mọi tác vụ học tập, văn phòng', 'Màn hình 14.0 inch 2.8K OLED mang lại độ sắc nét cao, độ tương phản tuyệt vời và màu sắc sống động, tạo ra trải nghiệm hình ảnh đỉnh cao cho người dùng', '16GB RAM giúp xử lý tác vụ nhanh chóng và mượt mà cùng ổ\xa0cứng SSD PCIe dung lượng lớn 512GB, giúp lưu trữ dữ liệu một cách nhanh chóng và an toàn', 'Trang bị các tính năng tiện ích như webcam, Wifi, Bluetooth, cổng kết nối đa dạng để phục vụ nhu cầu làm việc và giải trí hàng ngày của người dùng']"
100664,100666,Laptop HP 250 G9 AG2K7AT-Bạc,https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/h/photo_2025-02-18_11-36-08_2__1.jpg,/laptop-hp-250-g9-ag2k7at.html?product_id=100666,Bạc,14.990.000₫,"['Laptop mạnh mẽ với vi xử lý Intel Core i5-1235U, mang đến hiệu suất vượt trội cho công việc và giải trí.', 'Với 16GB RAM, máy có khả năng đa nhiệm mượt mà, giúp người dùng dễ dàng chạy nhiều ứng dụng cùng lúc.', 'Ổ cứng SSD 512GB PCIe cung cấp không gian lưu trữ rộng rãi và tốc độ truy xuất dữ liệu nhanh chóng.', 'Màn hình 15.6 inch Full HD cho hình ảnh sắc nét và rõ ràng, rất phù hợp cho việc xem phim và làm việc.']"
28229,79939,Apple MacBook Air M1 256GB 2020 I Chính hãng Apple Việt Nam -Vàng,https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/o/gold_1_5.png,/macbook-air-2020-m1.html?product_id=79939,Vàng,15.990.000₫,"['Phù hợp cho lập trình viên, thiết kế đồ họa 2D, dân văn phòng', 'Hiệu năng vượt trội - Cân mọi tác vụ từ word, exel đến chỉnh sửa ảnh trên các phần mềm như AI, PTS', 'Đa nhiệm mượt mà - Ram 8GB cho phép vừa mở trình duyệt để tra cứu thông tin, vừa làm việc trên phần mềm', 'Trang bị SSD 256GB - Cho thời gian khởi động nhanh chóng, tối ưu hoá thời gian load ứng dụng', 'Chất lượng hình ảnh sắc nét - Màn hình Retina cao cấp cùng công nghệ TrueTone cân bằng màu sắc', 'Thiết kế sang trọng - Nặng chỉ 1.29KG, độ dày 16.1mm. Tiện lợi mang theo mọi nơi']"
28229,28230,Apple MacBook Air M1 256GB 2020 Chính Hãng Apple Việt Nam-Bạc,https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook-air-silver-select-201810_1.jpg,/macbook-air-2020-m1.html?product_id=28230,Bạc,15.990.000₫,"['Phù hợp cho lập trình viên, thiết kế đồ họa 2D, dân văn phòng', 'Hiệu năng vượt trội - Cân mọi tác vụ từ word, exel đến chỉnh sửa ảnh trên các phần mềm như AI, PTS', 'Đa nhiệm mượt mà - Ram 8GB cho phép vừa mở trình duyệt để tra cứu thông tin, vừa làm việc trên phần mềm', 'Trang bị SSD 256GB - Cho thời gian khởi động nhanh chóng, tối ưu hoá thời gian load ứng dụng', 'Chất lượng hình ảnh sắc nét - Màn hình Retina cao cấp cùng công nghệ TrueTone cân bằng màu sắc', 'Thiết kế sang trọng - Nặng chỉ 1.29KG, độ dày 16.1mm. Tiện lợi mang theo mọi nơi']"
28229,28232,Apple MacBook Air M1 256GB 2020 Chính Hãng Apple Việt Nam-Xám,https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook-air-space-gray-select-201810_1.jpg,/macbook-air-2020-m1.html?product_id=28232,Xám,15.990.000₫,"['Phù hợp cho lập trình viên, thiết kế đồ họa 2D, dân văn phòng', 'Hiệu năng vượt trội - Cân mọi tác vụ từ word, exel đến chỉnh sửa ảnh trên các phần mềm như AI, PTS', 'Đa nhiệm mượt mà - Ram 8GB cho phép vừa mở trình duyệt để tra cứu thông tin, vừa làm việc trên phần mềm', 'Trang bị SSD 256GB - Cho thời gian khởi động nhanh chóng, tối ưu hoá thời gian load ứng dụng', 'Chất lượng hình ảnh sắc nét - Màn hình Retina cao cấp cùng công nghệ TrueTone cân bằng màu sắc', 'Thiết kế sang trọng - Nặng chỉ 1.29KG, độ dày 16.1mm. Tiện lợi mang theo mọi nơi']"
