,children,content,creationTime,creationTimeDisplay,fetched_at,fullName,id,isAdministrator,like,media,product_code,score,text,code,displayName
2,"[{'id': 110221, 'creationTime': '2025-04-15T04:38:06.000Z', 'creationTimeDisplay': 'một ngày trước', 'content': '<p>Chào anh Tuấn,</p><p>Dạ mẫu này bên em đã có hàng trên hệ thống tuy nhiên số lượng có ít ạ. Bên em xin phép liên hệ để tư vấn chi tiết hơn. Nếu cần thêm thông tin khác anh gọi tổng đài miễn phí 18006601 hoặc có thể chat qua Zalo tại đây.</p><p>Thân mến!</p>', 'score': None, 'like': 0, 'fullName': 'Hoàng Thị Thanh', 'isAdministrator': True, 'media': {'images': [], 'videos': []}}]","Macbook air m4 bên mình đã về hàng chưa vậy ạ
",2025-04-15T04:23:00.553Z,một ngày trước,2025-04-16 15:14:44,Tuấn ,110217.0,False,0.0,"{'images': [], 'videos': []}",528007133007,,,528007133007,Macbook Air 13 M4 2025 10CPU/8GPU/16GB/256GB
8,"[{'id': 107207, 'creationTime': '2025-03-25T08:38:31.000Z', 'creationTimeDisplay': '22 ngày trước', 'content': '<p>Chào anh Q,</p><p>Trường hợp này anh có thể mang máy qua FPT shop đẻ gửi hãng hỗ trợ và báo phí sửa chữa cụ thể đến mình anh nhé. Hoặc thuận tiện anh có thể ghé 2 trung tâm FCare sau ạ:</p><p>- Số 20, Đường 53, Phường Tân Phong, Quận 7, TP. Hồ Chí Minh.</p><p>- Số 22, Nguyễn Khang, Cầu Giấy, Hà Nội ạ</p><p>Thời gian hoạt động: 8:30 – 12:00; 13:30 – 18:00 (Thứ 7 chỉ làm buổi sáng, CN nghỉ)</p><p>Nếu cần thêm thông tin khác anh gọi tổng đài miễn phí 18006601 hoặc có thể chat qua Zalo <a href=""https://zalo.me/2659487666103055748"" rel=""noopener noreferrer"" target=""_blank"">tại đây</a>. Để được hỗ trợ nhanh nhất ạ.</p><p>Thân mến!</p>', 'score': None, 'like': 0, 'fullName': 'Bùi Thành', 'isAdministrator': True, 'media': {'images': [], 'videos': []}}]",máy tính bị hư loa thì sử trong shop hay là ở hãng ạ và sửa trong bao lâu ạ,2025-03-25T08:05:57.983Z,22 ngày trước,2025-04-16 15:14:45,qq,107206.0,False,0.0,"{'images': [], 'videos': []}",375605815949,,,375605815949,MacBook Air 13 M3 2024 8CPU/8GPU/16GB/256GB
10,"[{'id': 104210, 'creationTime': '2025-03-01T06:00:56.000Z', 'creationTimeDisplay': 'một tháng trước', 'content': '<p>Chào chị Vy</p><p><br></p><p>Dạ sản phẩm MacBook Air 13 M3 2024&nbsp;8CPU/8GPU/16GB/256GB giá ưu đãi chỉ từ <strong>26.990.000đ </strong>áp dụng ngày 01/03, Đặc quyền sinh viên</p><p>Giảm ngay 300.000đ. Vời thời lượng pin 18 giờ, chị sẽ thoải mái sử dụng thiết bị mà không cần bận tâm nhiều về vấn đề sạc pin.</p><p><br></p><p>Bên em xin phép liên hệ để tư vấn chi tiết hơn. Nếu cần thêm thông tin khác chị gọi tổng đài miễn phí 18006601 hoặc có thể chat qua Zalo&nbsp;<a href=""https://zalo.me/2659487666103055748"" rel=""noopener noreferrer"" target=""_blank"">tại đây</a></p><p><br></p><p>Thân mến!</p>', 'score': None, 'like': 0, 'fullName': 'Huỳnh Ngọc Dư', 'isAdministrator': True, 'media': {'images': [], 'videos': []}}]",tháng 3 có khuyến mãi k ạ,2025-03-01T05:58:32.839Z,một tháng trước,2025-04-16 15:14:45,vy,104209.0,False,0.0,"{'images': [], 'videos': []}",375605815949,,,375605815949,MacBook Air 13 M3 2024 8CPU/8GPU/16GB/256GB
11,"[{'id': 101991, 'creationTime': '2025-02-14T01:41:14.000Z', 'creationTimeDisplay': '2 tháng trước', 'content': '<p>Chào chị Ớt, </p><p>Dạ bên em mẫu MacBook Air 13 M3 2024&nbsp;8CPU/8GPU/16GB/256GB đang có giá sau giảm là 26.090.000&nbsp;₫ hết 16/2 + trả góp 0% ạ. Bên em sẽ liên tục cập nhật các chương trình khuyến mại trên web để chị tiện theo dõi thêm nhé ạ</p><p>Nếu cần thêm thông tin khác chị gọi tổng đài miễn phí 18006601 hoặc có thể chat qua Zalo <a href=""https://zalo.me/2659487666103055748"" rel=""noopener noreferrer"" target=""_blank"">tại đây</a>. Để được hỗ trợ nhanh nhất ạ.</p><p>Thân mến!</p><p><br></p>', 'score': None, 'like': 0, 'fullName': 'Nguyễn Trung Hữu', 'isAdministrator': True, 'media': {'images': [], 'videos': []}}]","từ giờ đến tháng 6,7 có chương trình giảm giá nào k ạ . Em hiện tại là sinh viên lần đầu mua lap ạ",2025-02-14T01:25:01.665Z,2 tháng trước,2025-04-16 15:14:45,ớt,101979.0,False,0.0,"{'images': [], 'videos': []}",375605815949,,,375605815949,MacBook Air 13 M3 2024 8CPU/8GPU/16GB/256GB
14,"[{'id': 98044, 'creationTime': '2025-01-20T14:02:26.000Z', 'creationTimeDisplay': '3 tháng trước', 'content': '<p>Chào anh Khoa</p><p><br></p><p>Dạ rất tiếc sản phẩm này không áp dụng chương trình thu cũ đổi mới nhé. Sản phẩm MacBook Air 13 M3 2024&nbsp;8CPU/8GPU/16GB/256GB giá ưu đãi chỉ từ <strong>25.990.000đ </strong>&nbsp;áp dụng đến 20/01. Vời thời lượng pin 18 giờ, người dùng sẽ thoải mái sử dụng thiết bị mà không cần bận tâm nhiều về vấn đề sạc pin.</p><p><br></p><p>Bên em xin phép liên hệ để tư vấn chi tiết hơn. Nếu cần thêm thông tin khác anh gọi tổng đài miễn phí 18006601 hoặc có thể chat qua Zalo&nbsp;<a href=""https://zalo.me/2659487666103055748"" rel=""noopener noreferrer"" target=""_blank"">tại đây</a></p><p><br></p><p>Thân mến!</p>', 'score': None, 'like': 0, 'fullName': 'Huỳnh Ngọc Dư', 'isAdministrator': True, 'media': {'images': [], 'videos': []}}]",Chương trình thu cũ đổi mới mình có dc áp dụng giá 25.990 này không ạ?,2025-01-20T13:48:01.821Z,3 tháng trước,2025-04-16 15:14:55,Khoa,98038.0,False,0.0,"{'images': [], 'videos': []}",375605815949,,,375605815949,MacBook Air 13 M3 2024 8CPU/8GPU/16GB/256GB
15,"[{'id': 97774, 'creationTime': '2025-01-20T05:14:02.000Z', 'creationTimeDisplay': '3 tháng trước', 'content': '<p>Chào anh Khoa,</p><p>Dạ sản phẩm macbook air M1 nếu máy anh  là sản phẩm mua mới tại FPT Shop, còn trong thời hạn bảo hành và có thời gian sử dụng dưới 12 tháng. Anh Khoa có thể mang sản phẩm qua chi nhánh FPT Shop gần nhất để được thẩm định và báo giá thu mua. Sau đó Anh sẽ bù phần chênh lệch (nếu có) để mua sản phẩm mới ạ ; còn sản phẩm ipad gen 8 lại chưa có trong dánh sách thu cũ rồi ạ.</p><p>Sản phẩm MacBook Air 13 M3 2024&nbsp;8CPU/8GPU/16GB/256GB có giá chỉ từ <strong>25.990.000 + </strong>Trả góp 0%&nbsp;. Bên em xin phép liên hệ để tư vấn chi tiết hơn. Nếu cần thêm thông tin khác anh gọi tổng đài miễn phí 18006601 hoặc có thể chat qua Zalo <a href=""https://zalo.me/2659487666103055748"" rel=""noopener noreferrer"" target=""_blank"">tại đây</a>.</p><p>Thân mến!</p>', 'score': None, 'like': 0, 'fullName': 'Thúy Oanh ', 'isAdministrator': True, 'media': {'images': [], 'videos': []}}]",bên mình có thu cũ đổi mới ko ạ? em đang muốn bán con air m1 và con ipad gen 8 để mua con air m3,2025-01-20T05:06:28.110Z,3 tháng trước,2025-04-16 15:14:55,Khoa,97772.0,False,0.0,"{'images': [], 'videos': []}",375605815949,,,375605815949,MacBook Air 13 M3 2024 8CPU/8GPU/16GB/256GB
17,"[{'id': 107511, 'creationTime': '2025-03-29T03:49:30.000Z', 'creationTimeDisplay': '18 ngày trước', 'content': '<p>Chào anh Tĩnh,</p><p>Dạ, MacBook Pro 14 M4 2024&nbsp;10CPU/10GPU/16GB/512GB sở hữu thiết kế sang trọng cùng với cấu hình mạnh mẽ, sản phẩm có giá ưu đãi chỉ còn 39.990.000&nbsp;₫. Dòng Macbook pro m3 rất tiếc chưa nằm trong danh sách thu cũ đổi mới.</p><p><br></p><p>Bên em xin phép liên hệ để tư vấn chi tiết hơn. Nếu cần thêm thông tin khác anh gọi tổng đài miễn phí 18006601 hoặc có thể chat qua Zalo&nbsp;<a href=""https://zalo.me/2659487666103055748"" rel=""noopener noreferrer"" target=""_blank"">tại đây</a></p><p><br></p><p>Thân mến !</p>', 'score': None, 'like': 0, 'fullName': 'Thành Nhân', 'isAdministrator': True, 'media': {'images': [], 'videos': []}}]",Macbook pro 13 inch 2019 i5 128gb thu cũ lên đời pro m4 giá sao shop ơi,2025-03-29T03:07:55.214Z,18 ngày trước,2025-04-16 15:14:55,Phan Tĩnh,107510.0,False,0.0,"{'images': [], 'videos': []}",690921025013,,,690921025013,MacBook Pro 14 M4 2024 10CPU/10GPU/16GB/512GB
18,"[{'id': 59394, 'creationTime': '2025-01-03T01:25:11.000Z', 'creationTimeDisplay': '3 tháng trước', 'content': '<p>Chào anh Thuận</p><p>Dạ sản phẩm hiện còn hàng tại TP Thanh Hóa ạ. Nếu cần thêm thông tin khác anh gọi tổng đài miễn phí 18006601 hoặc có thể chat qua Zalo <a href=""https://zalo.me/2659487666103055748"" rel=""noopener noreferrer"" target=""_blank"">tại đây</a>. Để được hỗ trợ nhanh nhất ạ.</p><p>Thân mến!</p>', 'score': None, 'like': 0, 'fullName': 'Quang Nguyễn ', 'isAdministrator': True, 'media': {'images': [], 'videos': []}}]",Sản phầm có sẵn tại tp thanh hoá k nhỉ ,2025-01-03T00:32:42.177Z,3 tháng trước,2025-04-16 15:14:55,Truong Đức Thuận,59388.0,False,0.0,"{'images': [], 'videos': []}",202045110255,,,202045110255,Macbook Air M3 13 2024 8CPU 10GPU/16GB/256GB
19,"[{'id': 27763, 'creationTime': '2024-12-10T04:46:05.000Z', 'creationTimeDisplay': '4 tháng trước', 'content': '<p>Chào anh Hạo</p><p><br></p><p>Dạ Macbook Air M3 13 2024 8CPU&nbsp;10GPU/16GB/256GB với sức mạnh tuyệt vời của chip xử lý M3 cao cấp. Sản phẩm cung cấp thời lượng pin lên đến 18 tiếng trải nghiệm giá chỉ 28.790.000&nbsp;₫&nbsp;áp dụng đến 12/12&nbsp;- Đặc quyền sinh viên Giảm ngay 300.000&nbsp;₫ nữa ạ.</p><p><br></p><p>Bên em xin phép liên hệ để tư vấn chi tiết hơn. Nếu cần thêm thông tin khác anh gọi tổng đài miễn phí 18006601 hoặc có thể chat qua Zalo&nbsp;<a href=""https://zalo.me/2659487666103055748"" rel=""noopener noreferrer"" target=""_blank"">tại đây</a></p><p><br></p><p>Thân mến!</p>', 'score': None, 'like': 0, 'fullName': 'Trần Thị Khánh An', 'isAdministrator': True, 'media': {'images': [], 'videos': []}}]",Thời lượng pin của máy dùng được lâu hok admin,2024-12-10T04:43:32.804Z,4 tháng trước,2025-04-16 15:14:55,Gia Hạo,27757.0,False,0.0,"{'images': [], 'videos': []}",202045110255,,,202045110255,Macbook Air M3 13 2024 8CPU 10GPU/16GB/256GB
20,"[{'id': 27772, 'creationTime': '2024-12-10T04:53:01.000Z', 'creationTimeDisplay': '4 tháng trước', 'content': '<p>Chào anh Dũng</p><p><br></p><p>Dạ Macbook Air M3 13 2024 8CPU&nbsp;10GPU/16GB/256GB giá ưu đãi sau giảm chỉ còn 28.790.000&nbsp;₫ áp dụng đến 12/12&nbsp;- Quà tặng và ưu đãi đi kèm máy gồm có: Tặng phiếu mua hàng 150,000đ mua Balo, Túi chống sốc (Hạn sử dụng 15 ngày), Tiết kiệm 600,000đ khi mua Microsoft 365 Personal kèm thiết bị&nbsp;và Tặng mã ưu đãi giảm ngay 3% khi mua Máy tính bảng, Đồng hồ thông minh, Điện máy,...</p><p><br></p><p>Bên em xin phép liên hệ để tư vấn chi tiết hơn. Nếu cần thêm thông tin khác anh gọi tổng đài miễn phí 18006601 hoặc có thể chat qua Zalo&nbsp;<a href=""https://zalo.me/2659487666103055748"" rel=""noopener noreferrer"" target=""_blank"">tại đây</a></p><p><br></p><p>Thân mến!</p>', 'score': None, 'like': 0, 'fullName': 'Trần Thị Khánh An', 'isAdministrator': True, 'media': {'images': [], 'videos': []}}]","Có quà tặng và ưu đãi khác đi kèm nhỉ?
",2024-12-10T04:41:26.007Z,4 tháng trước,2025-04-16 15:14:55,Dũng,27751.0,False,0.0,"{'images': [], 'videos': []}",202045110255,,,202045110255,Macbook Air M3 13 2024 8CPU 10GPU/16GB/256GB
