product_id,name,manufacturer,laptop_height_mm,laptop_width_mm,cpu_boost_clock_ghz,root_price_vnd,cpu_threads,cpu_cores,ram_speed,discounted_price_vnd,ram_type,refresh_rate_hz,cpu_base_clock_ghz,ram_slots,battery_capacity_wh,cpu_model,vga_type,laptop_depth_mm,vga_vram_gb,laptop_camera
0220042002563__l66_20250402-105034,Laptop Lenovo Ideapad Slim 3 15IRH8 i7 13620H/16GB/1TB/Win11 (83EM003FVN),lenovo,235.0,359.3,4.9,19490000.0,16.0,10.0,4800.0,18190000.0,lpddr5,60.0,2.4,0.0,47.0,13620h,card tích hợp,17.9,,HD
0220042002272__l46_20250402-105034,Laptop Acer Aspire 5 A515 58P 34RJ i3 1315U/8GB/512GB/Win11 (NX.KHJSV.003),acer,237.5,362.9,4.5,,8.0,6.0,4800.0,,lpddr5,60.0,1.2,0.0,50.0,1315u,card tích hợp,17.99,,HD
0220042002367__l9_20250402-105034,Laptop Asus Vivobook 15 X1504ZA i3 1215U/8GB/512GB/Win11 (NJ102W),asus,232.5,359.7,4.4,12290000.0,8.0,6.0,3200.0,10690000.0,ddr4,60.0,1.2,2.0,42.0,1215u,card tích hợp,17.9,,HD
0220042001279__l4_20250402-105034,Laptop MacBook Air 13 inch M1 8GB/256GB (MGN63SA/A),apple,212.4,304.1,3.2,19990000.0,,8.0,4266.0,17190000.0,,60.0,,0.0,,apple m1,card tích hợp,4.1,,HD
0220042001887__l133_20250402-105034,Laptop Acer Aspire 5 A514 54 5127 i5 1135G7/8GB/512GB/Win11 (NX.A28SV.007),acer,223.0,328.0,4.2,,8.0,4.0,2666.0,,ddr4,60.0,2.4,1.0,48.0,1135g7,card tích hợp,17.95,,HD
0220042002045__l185_20250402-105034,Laptop HP 240 G9 i5 1235U/8GB/512GB/Win11 (6L1Y2PA),hp,225.9,324.0,4.4,,12.0,10.0,3200.0,,ddr4,60.0,1.3,2.0,41.0,1235u,card tích hợp,19.9,,HD
0220042002137__l155_20250402-105034,Laptop Dell Inspiron 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/Win11 (i5U085W11BLU),dell,235.56,358.5,4.4,15490000.0,12.0,10.0,2666.0,14490000.0,ddr4,120.0,1.3,2.0,41.0,1235u,card tích hợp,18.99,,HD
0220042002164__l93_20250402-105034,Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),hp,234.0,360.2,4.7,25290000.0,16.0,12.0,3200.0,21690000.0,ddr4,60.0,2.1,2.0,41.04,1260p,card tích hợp,17.9,,HD
0220042002182__l105_20250402-105034,Laptop HP Pavilion 15 eg2082TU i5 1240P/8GB/512GB/Win11 (7C0Q5PA),hp,234.0,360.2,4.4,19790000.0,16.0,12.0,3200.0,16990000.0,ddr4,60.0,1.7,2.0,41.04,1240p,card tích hợp,17.9,,HD
0220042002196__l156_20250402-105034,Laptop Dell Vostro 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/Win11 (5M2TT2),dell,235.56,358.5,4.4,15490000.0,12.0,10.0,3200.0,13990000.0,ddr4,120.0,1.3,2.0,41.0,1235u,card tích hợp,19.0,,HD
0220042002205__l96_20250402-105034,Laptop Acer Aspire 3 A315 59 5283 i5 1235U/8GB/512GB/Win11 (NX.K6TSV.00B),acer,241.26,362.9,4.4,15990000.0,12.0,10.0,2400.0,12390000.0,ddr4,60.0,1.3,2.0,40.0,1235u,card tích hợp,19.9,,HD
0220042002215__l203_20250402-105034,Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),asus,232.5,359.7,4.6,17990000.0,12.0,10.0,3200.0,15690000.0,ddr4,60.0,1.3,2.0,42.0,1335u,card tích hợp,17.9,,HD
0220042002216__l194_20250402-105034,Laptop Asus Vivobook 15 X1504VA i7 1355U/16GB/512GB/Win11 (NJ023W),asus,232.5,359.7,5.0,22990000.0,12.0,10.0,3200.0,20290000.0,ddr4,60.0,1.7,2.0,42.0,1355u,card tích hợp,17.9,,HD
0220042002244__l111_20250402-105034,Laptop HP 15s fq5147TU i7 1255U/8GB/512GB/Win11 (7C133PA),hp,242.0,358.5,4.7,,12.0,10.0,3200.0,,ddr4,60.0,1.7,2.0,41.0,1255u,card tích hợp,17.9,,HD
0220042002245__l306_20250402-105034,Laptop Asus Vivobook 14 A1405VA i3 1315U/8GB/512GB/Win11 (LY097W),asus,222.0,317.1,4.5,,8.0,6.0,3200.0,,ddr4,60.0,1.2,2.0,42.0,1315u,card tích hợp,19.9,,HD
0220042002304__l243_20250402-105034,Laptop Dell Inspiron 15 3530 i5 1335U/8GB/512GB/120Hz/OfficeHS/Win11 (N3530-i5U085W11BLU),dell,235.56,358.5,4.6,18490000.0,12.0,10.0,2666.0,16990000.0,ddr4,120.0,1.3,2.0,41.0,1335u,card tích hợp,16.96,,HD
0220042002307__l76_20250402-105034,Laptop Asus Vivobook 16 X1605VA i5 1335U/16GB/512GB/Win11 (MB360W),asus,249.5,358.7,4.6,18990000.0,12.0,10.0,3200.0,14690000.0,ddr4,60.0,1.3,2.0,42.0,1335u,card tích hợp,19.9,,HD
0220042002317__l94_20250402-105034,Laptop HP Pavilion 15 eg2081TU i5 1240P/16GB/512GB/Win11 (7C0Q4PA),hp,234.0,360.2,4.4,20990000.0,16.0,12.0,3200.0,18190000.0,ddr4,60.0,1.7,2.0,41.0,1240p,card tích hợp,17.9,,HD
0220042002334__l318_20250402-105034,Laptop MSI Modern 15 B12MO i7 1255U/16GB/512GB/Win11 (487VN),msi,241.0,359.0,4.7,19490000.0,12.0,10.0,3200.0,15690000.0,ddr4,60.0,1.7,0.0,39.3,1255u,card tích hợp,19.9,,HD
0220042002338__l60_20250402-105034,Laptop Asus Vivobook 15 OLED A1505VA i5 13500H/16GB/512GB/Win11 (L1341W),asus,227.6,356.8,4.7,19990000.0,16.0,12.0,3200.0,17690000.0,ddr4,60.0,2.6,2.0,50.0,13500h,card tích hợp,19.9,,HD
0220042002348__l36_20250402-105034,Laptop MSI Modern 15 B12MO i5 1235U/16GB/512GB/Win11 (628VN),msi,241.0,359.0,4.4,14990000.0,12.0,10.0,3200.0,12690000.0,ddr4,60.0,1.3,0.0,39.3,1235u,card tích hợp,19.9,,HD
0220042002351__l0_20250402-105034,Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Win11 (NJ776W),asus,232.5,360.3,4.3,14490000.0,8.0,4.0,5500.0,12690000.0,lpddr5,60.0,2.8,0.0,42.0,7520u,card tích hợp,17.9,,HD
0220042002353__l207_20250402-105034,Laptop Asus Vivobook 15 OLED A1505ZA i5 12500H/16GB/512GB/Win11 (L1337W),asus,227.6,356.8,4.5,,16.0,12.0,2933.0,,ddr4,60.0,2.5,2.0,50.0,12500h,card tích hợp,19.9,,HD
0220042002355__l130_20250402-105034,Laptop HP Pavilion 15 eg3094TU i5 1335U/8GB/512GB/Win11 (8C5L5PA),hp,234.0,360.2,4.6,19990000.0,12.0,10.0,3200.0,16790000.0,ddr4,60.0,1.3,2.0,41.0,1335u,card tích hợp,18.0,,HD
0220042002356__l20_20250402-105034,Laptop HP Pavilion 15 eg3093TU i5 1335U/16GB/512GB/Win11 (8C5L4PA),hp,234.0,360.2,4.6,21290000.0,12.0,10.0,3200.0,18190000.0,ddr4,60.0,1.3,2.0,41.0,1335u,card tích hợp,18.0,,HD
0220042002357__l61_20250402-105034,Laptop HP Pavilion 15 eg3091TU i7 1355U/16GB/512GB/Win11 (8C5L2PA),hp,234.0,360.2,5.0,25290000.0,12.0,10.0,3200.0,23690000.0,ddr4,60.0,1.7,2.0,41.0,1355u,card tích hợp,18.0,,HD
0220042002379__l154_20250402-105034,Laptop Acer Gaming Aspire 7 A715 76G 59MW i5 12450H/8GB/512GB/4GB RTX2050/144Hz/Win11 (NH.QMYSV.001),acer,237.4,362.3,4.4,,12.0,8.0,3200.0,,ddr4,144.0,2.0,2.0,50.0,12450h,card rời,19.9,4.0,HD
0220042002387__l23_20250402-105034,Laptop Lenovo Ideapad Slim 3 15IAH8 i5 12450H/16GB/512GB/Win11 (83ER000EVN),lenovo,235.0,359.3,4.4,15990000.0,12.0,8.0,4800.0,14690000.0,lpddr5,60.0,2.0,0.0,47.0,12450h,card tích hợp,17.9,,Full HD
0220042002395__l63_20250402-105034,Laptop Lenovo Ideapad 1 15ALC7 R7 5700U/16GB/512GB/Win11 (82R400C1VN),lenovo,236.0,360.2,4.3,14490000.0,16.0,8.0,3200.0,13690000.0,ddr4,60.0,1.8,2.0,42.0,5700u,card tích hợp,17.9,,HD
0220042002449__l147_20250402-105034,Laptop HP Probook 450 G10 i5 1335U/16GB/512GB/Win11 (873D1PA),hp,233.9,359.4,4.6,22590000.0,12.0,10.0,3200.0,21490000.0,ddr4,60.0,1.3,2.0,51.0,1335u,card tích hợp,19.9,,HD
0220042002450__l195_20250402-105034,Laptop HP Probook 450 G10 i7 1355U/16GB/512GB/Win11 (873D3PA),hp,233.9,359.4,5.0,,12.0,10.0,3200.0,,ddr4,60.0,1.7,2.0,51.0,1355u,card tích hợp,19.9,,HD
