product_id,name,manufacturer,cpu_model,laptop_height_mm,laptop_width_mm,cpu_boost_clock_ghz,root_price_vnd,cpu_threads,cpu_cores,ram_speed,discounted_price_vnd,ram_type,refresh_rate_hz,cpu_base_clock_ghz,ram_slots,battery_capacity_wh,vga_type,laptop_depth_mm,vga_vram_gb,laptop_camera
0220042002563__l66_20250402-105034,Laptop Lenovo Ideapad Slim 3 15IRH8 i7 13620H/16GB/1TB/Win11 (83EM003FVN),lenovo,13620h,235.0,359.3,4.9,19490000.0,16.0,10.0,4800.0,18190000.0,lpddr5,60.0,2.4,0.0,47.0,card tích hợp,17.9,,HD
0220042002272__l46_20250402-105034,Laptop Acer Aspire 5 A515 58P 34RJ i3 1315U/8GB/512GB/Win11 (NX.KHJSV.003),acer,1315u,237.5,362.9,4.5,11700000.0,8.0,6.0,4800.0,9900000.0,lpddr5,60.0,1.2,0.0,50.0,card tích hợp,17.99,0.0,HD
0220042002367__l9_20250402-105034,Laptop Asus Vivobook 15 X1504ZA i3 1215U/8GB/512GB/Win11 (NJ102W),asus,1215u,232.5,359.7,4.4,12290000.0,8.0,6.0,3200.0,10690000.0,ddr4,60.0,1.2,2.0,42.0,card tích hợp,17.9,0.0,HD
0220042001279__l4_20250402-105034,Laptop MacBook Air 13 inch M1 8GB/256GB (MGN63SA/A),apple,m1,212.4,304.1,3.2,19990000.0,8.0,8.0,4266.0,17190000.0,lpddr4x,60.0,2.06,0.0,49.9,card tích hợp,4.1,0.0,HD
0220042001887__l133_20250402-105034,Laptop Acer Aspire 5 A514 54 5127 i5 1135G7/8GB/512GB/Win11 (NX.A28SV.007),acer,1135g7,223.0,328.0,4.2,13520000.0,8.0,4.0,2666.0,12990000.0,ddr4,60.0,2.4,1.0,48.0,card tích hợp,17.95,0.0,HD
0220042002045__l185_20250402-105034,Laptop HP 240 G9 i5 1235U/8GB/512GB/Win11 (6L1Y2PA),hp,1235u,225.9,324.0,4.4,11570000.0,12.0,10.0,3200.0,10792000.0,ddr4,60.0,1.3,2.0,41.0,card tích hợp,19.9,0.0,HD
0220042002137__l155_20250402-105034,Laptop Dell Inspiron 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/Win11 (i5U085W11BLU),dell,1235u,235.56,358.5,4.4,15490000.0,12.0,10.0,2666.0,14490000.0,ddr4,120.0,1.3,2.0,41.0,card tích hợp,18.99,0.0,HD
0220042002164__l93_20250402-105034,Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),hp,1260p,234.0,360.2,4.7,25290000.0,16.0,12.0,3200.0,21690000.0,ddr4,60.0,2.1,2.0,41.04,card tích hợp,17.9,0.0,HD
0220042002182__l105_20250402-105034,Laptop HP Pavilion 15 eg2082TU i5 1240P/8GB/512GB/Win11 (7C0Q5PA),hp,1240p,234.0,360.2,4.4,19790000.0,16.0,12.0,3200.0,16990000.0,ddr4,60.0,1.7,2.0,41.04,card tích hợp,17.9,0.0,HD
0220042002196__l156_20250402-105034,Laptop Dell Vostro 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/Win11 (5M2TT2),dell,1235u,235.56,358.5,4.4,15490000.0,12.0,10.0,3200.0,13990000.0,ddr4,120.0,1.3,2.0,41.0,card tích hợp,19.0,0.0,HD
0220042002205__l96_20250402-105034,Laptop Acer Aspire 3 A315 59 5283 i5 1235U/8GB/512GB/Win11 (NX.K6TSV.00B),acer,1235u,241.26,362.9,4.4,15990000.0,12.0,10.0,2400.0,12390000.0,ddr4,60.0,1.3,2.0,40.0,card tích hợp,19.9,0.0,HD
0220042002215__l203_20250402-105034,Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),asus,1335u,232.5,359.7,4.6,17990000.0,12.0,10.0,3200.0,15690000.0,ddr4,60.0,1.3,2.0,42.0,card tích hợp,17.9,0.0,HD
0220042002216__l194_20250402-105034,Laptop Asus Vivobook 15 X1504VA i7 1355U/16GB/512GB/Win11 (NJ023W),asus,1355u,232.5,359.7,5.0,22990000.0,12.0,10.0,3200.0,20290000.0,ddr4,60.0,1.7,2.0,42.0,card tích hợp,17.9,0.0,HD
0220042002244__l111_20250402-105034,Laptop HP 15s fq5147TU i7 1255U/8GB/512GB/Win11 (7C133PA),hp,1255u,242.0,358.5,4.7,14274000.0,12.0,10.0,3200.0,12974000.0,ddr4,60.0,1.7,2.0,41.0,card tích hợp,17.9,0.0,HD
0220042002245__l306_20250402-105034,Laptop Asus Vivobook 14 A1405VA i3 1315U/8GB/512GB/Win11 (LY097W),asus,1315u,222.0,317.1,4.5,11990000.0,8.0,6.0,3200.0,10490000.0,ddr4,60.0,1.2,2.0,42.0,card tích hợp,19.9,0.0,HD
0220042002304__l243_20250402-105034,Laptop Dell Inspiron 15 3530 i5 1335U/8GB/512GB/120Hz/OfficeHS/Win11 (N3530-i5U085W11BLU),dell,1335u,235.56,358.5,4.6,18490000.0,12.0,10.0,2666.0,16990000.0,ddr4,120.0,1.3,2.0,41.0,card tích hợp,16.96,0.0,HD
0220042002307__l76_20250402-105034,Laptop Asus Vivobook 16 X1605VA i5 1335U/16GB/512GB/Win11 (MB360W),asus,1335u,249.5,358.7,4.6,18990000.0,12.0,10.0,3200.0,14690000.0,ddr4,60.0,1.3,2.0,42.0,card tích hợp,19.9,0.0,HD
0220042002317__l94_20250402-105034,Laptop HP Pavilion 15 eg2081TU i5 1240P/16GB/512GB/Win11 (7C0Q4PA),hp,1240p,234.0,360.2,4.4,20990000.0,16.0,12.0,3200.0,18190000.0,ddr4,60.0,1.7,2.0,41.0,card tích hợp,17.9,0.0,HD
0220042002334__l318_20250402-105034,Laptop MSI Modern 15 B12MO i7 1255U/16GB/512GB/Win11 (487VN),msi,1255u,241.0,359.0,4.7,19490000.0,12.0,10.0,3200.0,15690000.0,ddr4,60.0,1.7,0.0,39.3,card tích hợp,19.9,0.0,HD
0220042002338__l60_20250402-105034,Laptop Asus Vivobook 15 OLED A1505VA i5 13500H/16GB/512GB/Win11 (L1341W),asus,13500h,227.6,356.8,4.7,19990000.0,16.0,12.0,3200.0,17690000.0,ddr4,60.0,2.6,2.0,50.0,card tích hợp,19.9,0.0,HD
0220042002348__l36_20250402-105034,Laptop MSI Modern 15 B12MO i5 1235U/16GB/512GB/Win11 (628VN),msi,1235u,241.0,359.0,4.4,14990000.0,12.0,10.0,3200.0,12690000.0,ddr4,60.0,1.3,0.0,39.3,card tích hợp,19.9,0.0,HD
0220042002351__l0_20250402-105034,Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Win11 (NJ776W),asus,7520u,232.5,360.3,4.3,14490000.0,8.0,4.0,5500.0,12690000.0,lpddr5,60.0,2.8,0.0,42.0,card tích hợp,17.9,0.0,HD
0220042002353__l207_20250402-105034,Laptop Asus Vivobook 15 OLED A1505ZA i5 12500H/16GB/512GB/Win11 (L1337W),asus,12500h,227.6,356.8,4.5,17990000.0,16.0,12.0,2933.0,13490000.0,ddr4,60.0,2.5,2.0,50.0,card tích hợp,19.9,0.0,HD
