product_id,name,manufacturer,laptop_height_mm,laptop_width_mm,cpu_boost_clock_ghz,root_price_vnd,cpu_threads,cpu_cores,ram_speed,discounted_price_vnd,ram_type,refresh_rate_hz,cpu_base_clock_ghz,ram_slots,battery_capacity_wh,cpu_model,vga_type,laptop_depth_mm,vga_vram_gb,laptop_camera
0220042002272__l46_20250402-105034,Laptop Acer Aspire 5 A515 58P 34RJ i3 1315U/8GB/512GB/Win11 (NX.KHJSV.003),acer,237.5,362.9,4.5,,8.0,6.0,4800.0,,lpddr5,60.0,1.2,0.0,50.0,1315u,card tích hợp,17.99,,HD
0220042002367__l9_20250402-105034,Laptop Asus Vivobook 15 X1504ZA i3 1215U/8GB/512GB/Win11 (NJ102W),asus,232.5,359.7,4.4,12290000.0,8.0,6.0,3200.0,10690000.0,ddr4,60.0,1.2,2.0,42.0,1215u,card tích hợp,17.9,,HD
0220042001279__l4_20250402-105034,Laptop MacBook Air 13 inch M1 8GB/256GB (MGN63SA/A),apple,212.4,304.1,3.2,19990000.0,,8.0,4266.0,17190000.0,,60.0,,0.0,,apple m1,card tích hợp,4.1,,HD
0220042001887__l133_20250402-105034,Laptop Acer Aspire 5 A514 54 5127 i5 1135G7/8GB/512GB/Win11 (NX.A28SV.007),acer,223.0,328.0,4.2,,8.0,4.0,2666.0,,ddr4,60.0,2.4,1.0,48.0,1135g7,card tích hợp,17.95,,HD
0220042002045__l185_20250402-105034,Laptop HP 240 G9 i5 1235U/8GB/512GB/Win11 (6L1Y2PA),hp,225.9,324.0,4.4,,12.0,10.0,3200.0,,ddr4,60.0,1.3,2.0,41.0,1235u,card tích hợp,19.9,,HD
0220042002137__l155_20250402-105034,Laptop Dell Inspiron 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/Win11 (i5U085W11BLU),dell,235.56,358.5,4.4,15490000.0,12.0,10.0,2666.0,14490000.0,ddr4,120.0,1.3,2.0,41.0,1235u,card tích hợp,18.99,,HD
0220042002164__l93_20250402-105034,Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),hp,234.0,360.2,4.7,25290000.0,16.0,12.0,3200.0,21690000.0,ddr4,60.0,2.1,2.0,41.04,1260p,card tích hợp,17.9,,HD
0220042002182__l105_20250402-105034,Laptop HP Pavilion 15 eg2082TU i5 1240P/8GB/512GB/Win11 (7C0Q5PA),hp,234.0,360.2,4.4,19790000.0,16.0,12.0,3200.0,16990000.0,ddr4,60.0,1.7,2.0,41.04,1240p,card tích hợp,17.9,,HD
0220042002196__l156_20250402-105034,Laptop Dell Vostro 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/Win11 (5M2TT2),dell,235.56,358.5,4.4,15490000.0,12.0,10.0,3200.0,13990000.0,ddr4,120.0,1.3,2.0,41.0,1235u,card tích hợp,19.0,,HD
0220042002205__l96_20250402-105034,Laptop Acer Aspire 3 A315 59 5283 i5 1235U/8GB/512GB/Win11 (NX.K6TSV.00B),acer,241.26,362.9,4.4,15990000.0,12.0,10.0,2400.0,12390000.0,ddr4,60.0,1.3,2.0,40.0,1235u,card tích hợp,19.9,,HD
0220042002215__l203_20250402-105034,Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),asus,232.5,359.7,4.6,17990000.0,12.0,10.0,3200.0,15690000.0,ddr4,60.0,1.3,2.0,42.0,1335u,card tích hợp,17.9,,HD
0220042002216__l194_20250402-105034,Laptop Asus Vivobook 15 X1504VA i7 1355U/16GB/512GB/Win11 (NJ023W),asus,232.5,359.7,5.0,22990000.0,12.0,10.0,3200.0,20290000.0,ddr4,60.0,1.7,2.0,42.0,1355u,card tích hợp,17.9,,HD
