product_id,name,root_price_vnd,discounted_price_vnd,battery_capacity_wh,cpu_threads,cpu_base_clock_ghz,ram_type,cpu_model,manufacturer,laptop_height_mm,laptop_width_mm,cpu_boost_clock_ghz,cpu_cores,ram_speed,refresh_rate_hz,ram_slots,vga_type,laptop_depth_mm,vga_vram_gb,laptop_camera
0220042002272__l46_20250402-105034,Laptop Acer Aspire 5 A515 58P 34RJ i3 1315U/8GB/512GB/Win11 (NX.KHJSV.003),13090000,10190000,50,8,1.2,lpddr5,1315u,acer,237.5,362.9,4.5,6,4800,60,0,card tích hợp,17.99,0,HD
0220042002367__l9_20250402-105034,Laptop Asus Vivobook 15 X1504ZA i3 1215U/8GB/512GB/Win11 (NJ102W),12290000,10690000,42,8,1.2,ddr4,1215u,asus,232.5,359.7,4.4,6,3200,60,2,card tích hợp,17.9,0,HD
0220042001279__l4_20250402-105034,Laptop MacBook Air 13 inch M1 8GB/256GB (MGN63SA/A),19990000,17190000,30,8,3,lpddr4x,m1,apple,212.4,304.1,3.2,8,4266,60,0,card tích hợp,4.1,0,HD
0220042001887__l133_20250402-105034,Laptop Acer Aspire 5 A514 54 5127 i5 1135G7/8GB/512GB/Win11 (NX.A28SV.007),15490000,11690000,48,8,2.4,ddr4,1135g7,acer,223,328,4.2,4,2666,60,1,card tích hợp,17.95,0,HD
0220042002045__l185_20250402-105034,Laptop HP 240 G9 i5 1235U/8GB/512GB/Win11 (6L1Y2PA),18590000,14990000,41,12,1.3,ddr4,1235u,hp,225.9,324,4.4,10,3200,60,2,card tích hợp,19.9,0,HD
0220042002137__l155_20250402-105034,Laptop Dell Inspiron 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/Win11 (i5U085W11BLU),15490000,14490000,41,12,1.3,ddr4,1235u,dell,235.56,358.5,4.4,10,2666,120,2,card tích hợp,18.99,0,HD
0220042002164__l93_20250402-105034,Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),25290000,21690000,41.04,16,2.1,ddr4,1260p,hp,234,360.2,4.7,12,3200,60,2,card tích hợp,17.9,0,HD
0220042002182__l105_20250402-105034,Laptop HP Pavilion 15 eg2082TU i5 1240P/8GB/512GB/Win11 (7C0Q5PA),19790000,16990000,41.04,16,1.7,ddr4,1240p,hp,234,360.2,4.4,12,3200,60,2,card tích hợp,17.9,0,HD
0220042002196__l156_20250402-105034,Laptop Dell Vostro 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/Win11 (5M2TT2),15490000,13990000,41,12,1.3,ddr4,1235u,dell,235.56,358.5,4.4,10,3200,120,2,card tích hợp,19,0,HD
0220042002205__l96_20250402-105034,Laptop Acer Aspire 3 A315 59 5283 i5 1235U/8GB/512GB/Win11 (NX.K6TSV.00B),15990000,12390000,40,12,1.3,ddr4,1235u,acer,241.26,362.9,4.4,10,2400,60,2,card tích hợp,19.9,0,HD
0220042002215__l203_20250402-105034,Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),17990000,15690000,42,12,1.3,ddr4,1335u,asus,232.5,359.7,4.6,10,3200,60,2,card tích hợp,17.9,0,HD
0220042002216__l194_20250402-105034,Laptop Asus Vivobook 15 X1504VA i7 1355U/16GB/512GB/Win11 (NJ023W),22990000,20290000,42,12,1.7,ddr4,1355u,asus,232.5,359.7,5,10,3200,60,2,card tích hợp,17.9,0,HD
0220042002244__l111_20250402-105034,Laptop HP 15s fq5147TU i7 1255U/8GB/512GB/Win11 (7C133PA),20890000,13990000,41,12,1.7,ddr4,1255u,hp,242,358.5,4.7,10,3200,60,2,card tích hợp,17.9,0,HD
0220042002245__l306_20250402-105034,Laptop Asus Vivobook 14 A1405VA i3 1315U/8GB/512GB/Win11 (LY097W),14990000,12990000,42,8,1.2,ddr4,1315u,asus,222,317.1,4.5,6,3200,60,2,card tích hợp,19.9,0,HD
0220042002304__l243_20250402-105034,Laptop Dell Inspiron 15 3530 i5 1335U/8GB/512GB/120Hz/OfficeHS/Win11 (N3530-i5U085W11BLU),18490000,16990000,41,12,1.3,ddr4,1335u,dell,235.56,358.5,4.6,10,2666,120,2,card tích hợp,16.96,0,HD
0220042002307__l76_20250402-105034,Laptop Asus Vivobook 16 X1605VA i5 1335U/16GB/512GB/Win11 (MB360W),18990000,14690000,42,12,1.3,ddr4,1335u,asus,249.5,358.7,4.6,10,3200,60,2,card tích hợp,19.9,0,HD
